acc_id,tipo_veh,color_veh
2013|298,Automovil,Gris
2013|299,Automovil,Ignorado
2013|300,Motocicleta,Rojo
2013|301,Camión,Ignorado
2013|302,Pick up,Ignorado
2013|303,Automovil,Corinto
2013|304,Motocicleta,Rojo
2013|305,Automovil,Ignorado
2013|306,Motocicleta,Negro
2013|307,Camión,Blanco
2013|308,Automovil,Azul
2013|309,Pick up,Gris
2013|310,Microbus,Verde
2013|311,Motocicleta,Negro
2013|312,Cabezal,Verde
2013|313,Camión,Amarillo
2013|314,Motocicleta,Blanco
2013|315,Motocicleta,Rojo
2013|316,Automovil,Blanco
2013|317,Motocicleta,Negro
2013|318,Motocicleta,Negro
2013|319,Bus urbano,Ignorado
2013|320,Automovil,Blanco
2013|321,Automovil,Blanco
2013|322,Camioneta,Beige
2013|323,Mototaxi,Rojo
2013|324,Pick up,Ignorado
2013|325,Motocicleta,Ignorado
2013|326,Cabezal,Blanco
2013|327,Camioneta,Verde
2013|328,Pick up,Ignorado
2013|329,Automovil,Morado
2013|330,Pick up,Ignorado
2013|331,Pick up,Blanco
2013|332,Motocicleta,Negro
2013|333,Motocicleta,Gris
2013|334,Camión,Blanco
2013|335,Motocicleta,Negro
2013|336,Motocicleta,Corinto
2013|337,Automovil,Blanco
2013|338,Motocicleta,Ignorado
2013|339,Motocicleta,Ignorado
2013|340,Motocicleta,Ignorado
2013|341,Camioneta,Gris
2013|342,Motocicleta,Negro
2013|343,Motocicleta,Blanco
2013|344,Motocicleta,Gris
2013|345,Automovil,Gris
2013|346,Motocicleta,Rojo
2013|347,Pick up,Ignorado
2013|348,Mototaxi,Rojo
2013|349,Bus extraurbano,Amarillo
2013|350,Automovil,Blanco
2013|351,Bus urbano,Rojo
2013|352,Automovil,Ignorado
2013|353,Automovil,Blanco
2013|354,Motocicleta,Rojo
2013|355,Automovil,Rojo
2013|356,Pick up,Blanco
2013|357,Pick up,Blanco
2013|358,Pick up,Celeste
2013|359,Mototaxi,Rojo
2013|360,Automovil,Verde
2013|361,Pick up,Corinto
2013|362,Camión,Blanco
2013|363,Motocicleta,Rojo
2013|364,Automovil,Negro
2013|365,Automovil,Corinto
2013|366,Taxi,Blanco
2013|367,Pick up,Rojo
2013|368,Motocicleta,Negro
2013|369,Motocicleta,Negro
2013|370,Camión,Blanco
2013|371,Bus urbano,Azul
2013|372,Camión,Blanco
2013|373,Motocicleta,Negro
2013|374,Automovil,Azul
