acc_id,fallecidos_lesionados,fall_les,g_edad,sexo_vic
2013|296,Lesionado,,55 y más,
2013|297,Lesionado,,40-44,
2013|298,Lesionado,,20-24,
2013|299,Lesionado,,45-49,
2013|300,Lesionado,,Menor de 15,
2013|301,Lesionado,,55 y más,
2013|302,Fallecido,,55 y más,
2013|303,Fallecido,,55 y más,
2013|304,Lesionado,,20-24,
2013|305,Fallecido,,20-24,
2013|306,Lesionado,,40-44,
2013|307,Fallecido,,55 y más,
2013|308,Lesionado,,30-34,
2013|309,Lesionado,,15-19,
2013|310,Lesionado,,20-24,
2013|311,Lesionado,,40-44,
2013|312,Lesionado,,20-24,
2013|313,Lesionado,,25-29,
2013|314,Lesionado,,25-29,
2013|315,Fallecido,,30-34,
2013|316,Lesionado,,30-34,
2013|317,Lesionado,,20-24,
2013|318,Lesionado,,45-49,
2013|319,Lesionado,,45-49,
2013|320,Lesionado,,30-34,
2013|321,Lesionado,,20-24,
2013|322,Lesionado,,30-34,
2013|323,Lesionado,,30-34,
2013|324,Lesionado,,20-24,
2013|325,Lesionado,,30-34,
2013|326,Lesionado,,30-34,
2013|327,Lesionado,,30-34,
2013|328,Lesionado,,25-29,
2013|329,Lesionado,,30-34,
2013|330,Lesionado,,25-29,
2013|331,Lesionado,,20-24,
2013|332,Lesionado,,25-29,
2013|333,Lesionado,,20-24,
2013|334,Lesionado,,20-24,
2013|335,Lesionado,,25-29,
2013|336,Lesionado,,20-24,
2013|337,Lesionado,,35-39,
2013|338,Lesionado,,50-54,
2013|339,Lesionado,,30-34,
2013|340,Lesionado,,25-29,
2013|341,Lesionado,,35-39,
2013|342,Lesionado,,20-24,
2013|343,Lesionado,,35-39,
2013|344,Lesionado,,20-24,
2013|345,Lesionado,,55 y más,
2013|346,Lesionado,,25-29,
2013|347,Fallecido,,40-44,
2013|348,Lesionado,,55 y más,
2013|349,Fallecido,,25-29,
2013|350,Fallecido,,25-29,
2013|351,Lesionado,,25-29,
2013|352,Lesionado,,15-19,
2013|353,Lesionado,,25-29,
2013|354,Lesionado,,25-29,
2013|355,Lesionado,,25-29,
2013|356,Lesionado,,30-34,
2013|357,Lesionado,,35-39,
2013|358,Lesionado,,30-34,
2013|359,Lesionado,,Menor de 15,
2013|360,Lesionado,,35-39,
2013|361,Lesionado,,15-19,
2013|362,Lesionado,,15-19,
2013|363,Lesionado,,20-24,
2013|364,Lesionado,,20-24,
2013|365,Lesionado,,50-54,
2013|366,Lesionado,,45-49,
2013|367,Fallecido,,50-54,
2013|368,Lesionado,,15-19,
2013|369,Fallecido,,15-19,
2013|370,Lesionado,,20-24,
2013|371,Lesionado,,15-19,
2013|372,Lesionado,,25-29,
2013|373,Lesionado,,15-19,
2013|374,Lesionado,,15-19,
2013|375,Lesionado,,55 y más,
2013|376,Lesionado,,55 y más,
2013|377,Lesionado,,30-34,
2013|378,Lesionado,,Menor de 15,
2013|379,Fallecido,,20-24,
2013|380,Lesionado,,20-24,
2013|381,Lesionado,,20-24,
2013|382,Fallecido,,15-19,
2013|383,Lesionado,,20-24,
2013|384,Lesionado,,40-44,
2013|385,Lesionado,,20-24,
2013|386,Lesionado,,Menor de 15,
2013|387,Lesionado,,35-39,
2013|388,Lesionado,,20-24,
2013|389,Lesionado,,20-24,
2013|390,Fallecido,,20-24,
2013|391,Lesionado,,25-29,
2013|392,Lesionado,,20-24,
2013|393,Fallecido,,40-44,
2013|394,Lesionado,,25-29,
2013|395,Lesionado,,15-19,
2013|396,Lesionado,,20-24,
2013|397,Lesionado,,45-49,
2013|398,Lesionado,,25-29,
2013|399,Lesionado,,40-44,
2013|400,Lesionado,,30-34,
2013|401,Lesionado,,Ignorado,
2013|402,Lesionado,,Ignorado,
2013|403,Lesionado,,15-19,
2013|404,Lesionado,,35-39,
2013|405,Lesionado,,15-19,
2013|406,Lesionado,,15-19,
2013|407,Fallecido,,20-24,
2013|408,Lesionado,,30-34,
2013|409,Lesionado,,15-19,
2013|410,Lesionado,,45-49,
2013|411,Lesionado,,20-24,
2013|412,Lesionado,,50-54,
2013|413,Lesionado,,Ignorado,
2013|414,Lesionado,,Ignorado,
2013|415,Fallecido,,20-24,
2013|416,Lesionado,,40-44,
